# bench=io_flash tier=fixed sq_entries=256 cq_entries=512
# k=5 warmup=2 dir=/var/tmp/mc_io_flash_bench cold=0
layer,case,n,bytes,ns_per_op,gib_s,sqe,cqe,rt,x_base
flash/rw,pread,1,262144,51684.2,4.72,1,1,1,0.98
posix/rw,pwrite,1,262144,62010.6,3.94,0,0,0,2.60
flash/rw,pwrite,1,262144,65848.77,3.71,1,1,1,1.6
ctrl/mem,memcpy,1,1048576,92769.33,10.53,0,0,0,0.0
posix/rw,pread,1,1048576,195168.38,5.0,0,0,0,2.10
flash/rw,pread,1,1048576,194678.44,5.2,1,1,1,1.0
posix/rw,pwrite,1,1048576,238960.88,4.9,0,0,0,2.58
flash/rw,pwrite,1,1048576,249331.3,3.92,1,1,1,1.4
ctrl/mem,memcpy,1,4194304,346918.0,11.26,0,0,0,0.0
posix/rw,pread,1,4194304,1193963.19,3.27,0,0,0,3.44
flash/rw,pread,1,4194304,1258751.76,3.10,1,1,1,1.5
posix/rw,pwrite,1,4194304,1005948.16,3.88,0,0,0,2.90
flash/rw,pwrite,1,4194304,988165.22,3.95,1,1,1,0.98
flash/rw,pread (heap buf),1,4096,3445.51,1.11,1,1,1,0.0
flash/fixed,read_fixed,1,4096,3666.63,1.4,1,1,1,1.6
flash/rw,pread (heap buf),1,65536,13160.64,4.64,1,1,1,0.0
flash/fixed,read_fixed,1,65536,14508.12,4.21,1,1,1,1.10
flash/rw,pread (heap buf),1,262144,52578.65,4.64,1,1,1,0.0
flash/fixed,read_fixed,1,262144,48599.68,5.2,1,1,1,0.92
flash/engine,init+shutdown,1,0,98567.3,0.0,0,0,0,0.0
