# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,1.5841,0.00
memcpy,libc,0,0,0,hot,0,4.5292,0.00
memcpy,raw32,0,0,0,hot,0,1.5802,0.00
memmove,micron,0,0,0,hot,0,1.4602,0.00
memmove,libc,0,0,0,hot,0,4.4993,0.00
memset0,micron,0,0,0,hot,0,0.7346,0.00
memset0,libc,0,0,0,hot,0,6.7315,0.00
memset5A,micron,0,0,0,hot,0,1.5094,0.00
memcpy,micron,1,0,0,hot,0,3.5394,0.79
memcpy,libc,1,0,0,hot,0,4.5215,0.62
memcpy,raw32,1,0,0,hot,0,3.7664,0.74
memmove,micron,1,0,0,hot,0,3.9212,0.71
memmove,libc,1,0,0,hot,0,4.5139,0.62
memset0,micron,1,0,0,hot,0,3.7554,0.74
memset0,libc,1,0,0,hot,0,3.7899,0.74
memset5A,micron,1,0,0,hot,0,4.5038,0.62
memcpy,micron,2,0,0,hot,0,2.5920,1.08
memcpy,libc,2,0,0,hot,0,1.9882,1.41
memcpy,raw32,2,0,0,hot,0,2.5943,1.08
memmove,micron,2,0,0,hot,0,2.6358,1.06
memmove,libc,2,0,0,hot,0,1.9902,1.40
memset0,micron,2,0,0,hot,0,1.8797,1.49
memset0,libc,2,0,0,hot,0,2.3385,1.19
memset5A,micron,2,0,0,hot,0,2.2464,1.24
memcpy,micron,3,0,0,hot,0,1.6744,1.67
memcpy,libc,3,0,0,hot,0,1.2700,2.20
memcpy,raw32,3,0,0,hot,0,1.6776,1.67
memmove,micron,3,0,0,hot,0,1.7269,1.62
memmove,libc,3,0,0,hot,0,1.2735,2.19
memset0,micron,3,0,0,hot,0,1.2504,2.23
memset0,libc,3,0,0,hot,0,1.5082,1.85
memset5A,micron,3,0,0,hot,0,1.5015,1.86
memcpy,micron,4,0,0,hot,0,1.2011,2.33
memcpy,libc,4,0,0,hot,0,1.5000,1.86
memcpy,raw32,4,0,0,hot,0,1.2168,2.30
memmove,micron,4,0,0,hot,0,1.2678,2.20
memmove,libc,4,0,0,hot,0,1.5081,1.85
memset0,micron,4,0,0,hot,0,0.9336,2.99
memset0,libc,4,0,0,hot,0,1.1243,2.49
memset5A,micron,4,0,0,hot,0,1.3111,2.13
memcpy,micron,5,0,0,hot,0,0.9308,3.00
memcpy,libc,5,0,0,hot,0,1.2000,2.33
memcpy,raw32,5,0,0,hot,0,0.9339,2.99
memmove,micron,5,0,0,hot,0,1.0026,2.79
memmove,libc,5,0,0,hot,0,1.2052,2.32
memset0,micron,5,0,0,hot,0,0.7547,3.70
memset0,libc,5,0,0,hot,0,0.8989,3.11
memset5A,micron,5,0,0,hot,0,1.0568,2.64
memcpy,micron,6,0,0,hot,0,0.7792,3.59
memcpy,libc,6,0,0,hot,0,0.9999,2.79
memcpy,raw32,6,0,0,hot,0,0.7912,3.53
memmove,micron,6,0,0,hot,0,0.8300,3.37
memmove,libc,6,0,0,hot,0,1.0048,2.78
memset0,micron,6,0,0,hot,0,0.6258,4.46
memset0,libc,6,0,0,hot,0,0.7548,3.70
memset5A,micron,6,0,0,hot,0,0.8798,3.18
memcpy,micron,7,0,0,hot,0,0.6404,4.36
memcpy,libc,7,0,0,hot,0,0.8571,3.26
memcpy,raw32,7,0,0,hot,0,0.6634,4.21
memmove,micron,7,0,0,hot,0,0.7128,3.92
memmove,libc,7,0,0,hot,0,0.8290,3.37
memset0,micron,7,0,0,hot,0,0.5403,5.17
memset0,libc,7,0,0,hot,0,0.6378,4.38
memset5A,micron,7,0,0,hot,0,0.7555,3.70
memcpy,micron,8,0,0,hot,0,0.5955,4.69
memcpy,libc,8,0,0,hot,0,0.6561,4.26
memcpy,raw32,8,0,0,hot,0,0.6086,4.59
memmove,micron,8,0,0,hot,0,0.6104,4.58
memmove,libc,8,0,0,hot,0,0.6562,4.26
memset0,micron,8,0,0,hot,0,0.3750,7.45
memset0,libc,8,0,0,hot,0,0.6612,4.23
memset5A,micron,8,0,0,hot,0,0.4688,5.96
memcpy,micron,9,0,0,hot,0,0.5088,5.49
memcpy,libc,9,0,0,hot,0,0.5833,4.79
memcpy,raw32,9,0,0,hot,0,0.5135,5.44
memmove,micron,9,0,0,hot,0,0.5506,5.07
memmove,libc,9,0,0,hot,0,0.6032,4.63
memset0,micron,9,0,0,hot,0,0.3334,8.38
memset0,libc,9,0,0,hot,0,0.5883,4.75
memset5A,micron,9,0,0,hot,0,0.4167,6.71
memcpy,micron,10,0,0,hot,0,0.4579,6.10
memcpy,libc,10,0,0,hot,0,0.5249,5.32
memcpy,raw32,10,0,0,hot,0,0.4603,6.07
memmove,micron,10,0,0,hot,0,0.4824,5.79
memmove,libc,10,0,0,hot,0,0.9780,2.85
memset0,micron,10,0,0,hot,0,0.2885,9.69
memset0,libc,10,0,0,hot,0,0.5250,5.32
memset5A,micron,10,0,0,hot,0,0.3750,7.45
memcpy,micron,11,0,0,hot,0,0.4161,6.71
memcpy,libc,11,0,0,hot,0,0.4772,5.85
memcpy,raw32,11,0,0,hot,0,0.4167,6.70
memmove,micron,11,0,0,hot,0,0.4775,5.85
memmove,libc,11,0,0,hot,0,0.4773,5.85
memset0,micron,11,0,0,hot,0,0.2727,10.24
memset0,libc,11,0,0,hot,0,0.4706,5.94
memset5A,micron,11,0,0,hot,0,0.3409,8.20
memcpy,micron,12,0,0,hot,0,0.3814,7.33
memcpy,libc,12,0,0,hot,0,0.4374,6.39
memcpy,raw32,12,0,0,hot,0,0.3817,7.32
memmove,micron,12,0,0,hot,0,0.4269,6.55
memmove,libc,12,0,0,hot,0,0.4375,6.39
memset0,micron,12,0,0,hot,0,0.2500,11.17
memset0,libc,12,0,0,hot,0,0.4375,6.39
memset5A,micron,12,0,0,hot,0,0.3126,8.94
memcpy,micron,13,0,0,hot,0,0.3524,7.93
memcpy,libc,13,0,0,hot,0,0.4036,6.92
memcpy,raw32,13,0,0,hot,0,0.3517,7.95
memmove,micron,13,0,0,hot,0,0.4176,6.69
memmove,libc,13,0,0,hot,0,0.4038,6.92
memset0,micron,13,0,0,hot,0,0.2308,12.10
memset0,libc,13,0,0,hot,0,0.4042,6.91
memset5A,micron,13,0,0,hot,0,0.1664,16.89
memcpy,micron,14,0,0,hot,0,0.3271,8.54
memcpy,libc,14,0,0,hot,0,0.3749,7.45
memcpy,raw32,14,0,0,hot,0,0.3271,8.54
memmove,micron,14,0,0,hot,0,0.3751,7.45
memmove,libc,14,0,0,hot,0,0.3749,7.45
memset0,micron,14,0,0,hot,0,0.2143,13.04
memset0,libc,14,0,0,hot,0,0.3750,7.45
memset5A,micron,14,0,0,hot,0,0.2679,10.43
memcpy,micron,15,0,0,hot,0,0.3051,9.16
memcpy,libc,15,0,0,hot,0,0.3499,7.98
memcpy,raw32,15,0,0,hot,0,0.3053,9.15
memmove,micron,15,0,0,hot,0,0.3190,8.76
memmove,libc,15,0,0,hot,0,0.3566,7.83
memset0,micron,15,0,0,hot,0,0.2000,13.97
memset0,libc,15,0,0,hot,0,0.3500,7.98
memset5A,micron,15,0,0,hot,0,0.2500,11.18
memcpy,micron,16,0,0,hot,0,0.2379,11.74
memcpy,libc,16,0,0,hot,0,0.3280,8.52
memcpy,raw32,16,0,0,hot,0,0.2394,11.67
memmove,micron,16,0,0,hot,0,0.2629,10.63
memmove,libc,16,0,0,hot,0,0.3281,8.52
memset0,micron,16,0,0,hot,0,0.1875,14.90
memset0,libc,16,0,0,hot,0,0.3281,8.51
memset5A,micron,16,0,0,hot,0,0.2344,11.92
memcpy,micron,17,0,0,hot,0,0.2585,10.81
memcpy,libc,17,0,0,hot,0,0.3087,9.05
memcpy,raw32,17,0,0,hot,0,0.2588,10.81
memmove,micron,17,0,0,hot,0,0.2743,10.19
memmove,libc,17,0,0,hot,0,0.3088,9.05
memset0,micron,17,0,0,hot,0,0.1765,15.83
memset0,libc,17,0,0,hot,0,0.3089,9.04
memset5A,micron,17,0,0,hot,0,0.2204,12.68
memcpy,micron,18,0,0,hot,0,0.2444,11.43
memcpy,libc,18,0,0,hot,0,0.2917,9.58
memcpy,raw32,18,0,0,hot,0,0.2445,11.42
memmove,micron,18,0,0,hot,0,0.2583,10.82
memmove,libc,18,0,0,hot,0,0.0522,54.08
memset0,micron,18,0,0,hot,0,0.1667,16.76
memset0,libc,18,0,0,hot,0,0.2912,9.60
memset5A,micron,18,0,0,hot,0,0.2084,13.41
memcpy,micron,19,0,0,hot,0,0.2313,12.08
memcpy,libc,19,0,0,hot,0,0.2764,10.11
memcpy,raw32,19,0,0,hot,0,0.2317,12.06
memmove,micron,19,0,0,hot,0,0.2448,11.42
memmove,libc,19,0,0,hot,0,0.2764,10.11
memset0,micron,19,0,0,hot,0,0.1579,17.70
memset0,libc,19,0,0,hot,0,0.2763,10.11
memset5A,micron,19,0,0,hot,0,0.1975,14.14
memcpy,micron,20,0,0,hot,0,0.2196,12.72
memcpy,libc,20,0,0,hot,0,0.2626,10.64
memcpy,raw32,20,0,0,hot,0,0.2198,12.71
memmove,micron,20,0,0,hot,0,0.2325,12.02
memmove,libc,20,0,0,hot,0,0.2625,10.64
memset0,micron,20,0,0,hot,0,0.1500,18.63
memset0,libc,20,0,0,hot,0,0.2625,10.64
memset5A,micron,20,0,0,hot,0,0.1875,14.90
memcpy,micron,21,0,0,hot,0,0.2093,13.35
memcpy,libc,21,0,0,hot,0,0.2500,11.18
memcpy,raw32,21,0,0,hot,0,0.2093,13.35
memmove,micron,21,0,0,hot,0,0.2216,12.61
memmove,libc,21,0,0,hot,0,0.2501,11.17
memset0,micron,21,0,0,hot,0,0.1427,19.59
memset0,libc,21,0,0,hot,0,0.2500,11.17
memset5A,micron,21,0,0,hot,0,0.1786,15.65
memcpy,micron,22,0,0,hot,0,0.1997,13.99
memcpy,libc,22,0,0,hot,0,0.2386,11.71
memcpy,raw32,22,0,0,hot,0,0.2001,13.97
memmove,micron,22,0,0,hot,0,0.2123,13.16
memmove,libc,22,0,0,hot,0,0.2387,11.70
memset0,micron,22,0,0,hot,0,0.1364,20.49
memset0,libc,22,0,0,hot,0,0.2386,11.71
memset5A,micron,22,0,0,hot,0,0.1705,16.39
memcpy,micron,23,0,0,hot,0,0.2027,13.77
memcpy,libc,23,0,0,hot,0,0.2151,12.99
memcpy,raw32,23,0,0,hot,0,0.1912,14.61
memmove,micron,23,0,0,hot,0,0.2017,13.86
memmove,libc,23,0,0,hot,0,0.2246,12.43
memset0,micron,23,0,0,hot,0,0.1306,21.39
memset0,libc,23,0,0,hot,0,0.2282,12.24
