# bench=io_flash tier=fixed sq_entries=256 cq_entries=512
# k=5 warmup=2 dir=/var/tmp/mc_io_flash_bench cold=1
layer,case,n,bytes,ns_per_op,gib_s,sqe,cqe,rt,x_base
flash/rw,pread,1,262144,34876.1,7.0,1,1,1,0.97
posix/rw,pwrite,1,262144,50792.38,4.81,0,0,0,4.3
flash/rw,pwrite,1,262144,55545.19,4.40,1,1,1,1.9
ctrl/mem,memcpy,1,1048576,74815.35,13.5,0,0,0,0.0
posix/rw,pread,1,1048576,155706.43,6.27,0,0,0,2.8
flash/rw,pread,1,1048576,156765.5,6.23,1,1,1,1.1
posix/rw,pwrite,1,1048576,203512.49,4.80,0,0,0,2.72
flash/rw,pwrite,1,1048576,209613.70,4.66,1,1,1,1.3
ctrl/mem,memcpy,1,4194304,264030.75,14.79,0,0,0,0.0
posix/rw,pread,1,4194304,1052344.10,3.71,0,0,0,3.99
flash/rw,pread,1,4194304,1037341.16,3.77,1,1,1,0.99
posix/rw,pwrite,1,4194304,832035.80,4.69,0,0,0,3.15
flash/rw,pwrite,1,4194304,848739.85,4.60,1,1,1,1.2
flash/rw,pread (heap buf),1,4096,2134.27,1.79,1,1,1,0.0
flash/fixed,read_fixed,1,4096,2690.98,1.42,1,1,1,1.26
flash/rw,pread (heap buf),1,65536,7147.88,8.54,1,1,1,0.0
flash/fixed,read_fixed,1,65536,11091.27,5.50,1,1,1,1.55
flash/rw,pread (heap buf),1,262144,33063.43,7.38,1,1,1,0.0
flash/fixed,read_fixed,1,262144,32511.62,7.51,1,1,1,0.98
flash/engine,init+shutdown,1,0,61235.60,0.0,0,0,0,0.0
