# bench=memory_random
# batch=16384 k=5 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy_rand,micron,32768,-1,-1,rand,-1,0.1998,13.98
memcpy_rand,libc,32768,-1,-1,rand,-1,0.2498,11.18
memset_rand,micron,32768,-1,-1,rand,-1,0.1900,14.70
memset_rand,libc,32768,-1,-1,rand,-1,0.2187,12.77
memmove_rand,micron,32768,-1,-1,rand,-1,0.2132,13.10
memmove_rand,libc,32768,-1,-1,rand,-1,0.2610,10.70
memcpy_rand,micron,65536,-1,-1,rand,-1,0.2033,13.74
memcpy_rand,libc,65536,-1,-1,rand,-1,0.2514,11.11
memset_rand,micron,65536,-1,-1,rand,-1,0.1876,14.89
memset_rand,libc,65536,-1,-1,rand,-1,0.2194,12.73
memmove_rand,micron,65536,-1,-1,rand,-1,0.2171,12.87
memmove_rand,libc,65536,-1,-1,rand,-1,0.2580,10.83
memcpy_rand,micron,131072,-1,-1,rand,-1,0.2562,10.91
memcpy_rand,libc,131072,-1,-1,rand,-1,0.3608,7.74
memset_rand,micron,131072,-1,-1,rand,-1,0.2205,12.67
memset_rand,libc,131072,-1,-1,rand,-1,0.3128,8.93
memmove_rand,micron,131072,-1,-1,rand,-1,0.2601,10.74
memmove_rand,libc,131072,-1,-1,rand,-1,0.3181,8.78
memcpy_rand,micron,262144,-1,-1,rand,-1,0.2884,9.69
memcpy_rand,libc,262144,-1,-1,rand,-1,0.4448,6.28
memset_rand,micron,262144,-1,-1,rand,-1,0.2330,11.99
memset_rand,libc,262144,-1,-1,rand,-1,0.4212,6.63
memmove_rand,micron,262144,-1,-1,rand,-1,0.2913,9.59
memmove_rand,libc,262144,-1,-1,rand,-1,0.3883,7.20
memcpy_rand,micron,524288,-1,-1,rand,-1,0.2987,9.35
memcpy_rand,libc,524288,-1,-1,rand,-1,0.4801,5.82
memset_rand,micron,524288,-1,-1,rand,-1,0.2392,11.68
memset_rand,libc,524288,-1,-1,rand,-1,0.4672,5.98
memmove_rand,micron,524288,-1,-1,rand,-1,0.3146,8.88
memmove_rand,libc,524288,-1,-1,rand,-1,0.4150,6.73
memcpy_rand,micron,1048576,-1,-1,rand,-1,0.3054,9.15
memcpy_rand,libc,1048576,-1,-1,rand,-1,0.4924,5.67
memset_rand,micron,1048576,-1,-1,rand,-1,0.2369,11.79
memset_rand,libc,1048576,-1,-1,rand,-1,0.4694,5.95
memmove_rand,micron,1048576,-1,-1,rand,-1,0.3182,8.78
memmove_rand,libc,1048576,-1,-1,rand,-1,0.4162,6.71
