# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,raw32,12,0,0,hot,0,0.3204,8.73
memmove,micron,12,0,0,hot,0,0.2955,9.46
memmove,libc,12,0,0,hot,0,0.3425,8.15
memset0,micron,12,0,0,hot,0,0.1892,14.77
memset0,libc,12,0,0,hot,0,0.3750,7.45
memset5A,micron,12,0,0,hot,0,0.3134,8.90
memcpy,micron,13,0,0,hot,0,0.3064,9.11
memcpy,libc,13,0,0,hot,0,0.2731,10.24
memcpy,raw32,13,0,0,hot,0,0.3071,9.07
memmove,micron,13,0,0,hot,0,0.3107,8.98
memmove,libc,13,0,0,hot,0,0.2875,9.71
memset0,micron,13,0,0,hot,0,0.1749,15.94
memset0,libc,13,0,0,hot,0,0.3667,7.60
memset5A,micron,13,0,0,hot,0,0.2850,9.78
memcpy,micron,14,0,0,hot,0,0.2978,9.36
memcpy,libc,14,0,0,hot,0,0.2681,10.42
memcpy,raw32,14,0,0,hot,0,0.6921,4.03
memmove,micron,14,0,0,hot,0,0.0494,57.38
memmove,libc,14,0,0,hot,0,0.2834,9.85
memset0,micron,14,0,0,hot,0,0.0356,77.60
memset0,libc,14,0,0,hot,0,0.3219,8.67
memset5A,micron,14,0,0,hot,0,0.2812,9.93
memcpy,micron,15,0,0,hot,0,0.4188,6.66
memcpy,libc,15,0,0,hot,0,0.2532,10.99
memcpy,raw32,15,0,0,hot,0,0.3474,8.04
memmove,micron,15,0,0,hot,0,0.2913,9.58
memmove,libc,15,0,0,hot,0,0.2500,11.17
memset0,micron,15,0,0,hot,0,0.2218,12.57
memset0,libc,15,0,0,hot,0,0.3005,9.30
memset5A,micron,15,0,0,hot,0,0.2497,11.20
memcpy,micron,16,0,0,hot,0,0.1913,14.60
memcpy,libc,16,0,0,hot,0,0.3133,8.91
memcpy,raw32,16,0,0,hot,0,0.1922,14.52
memmove,micron,16,0,0,hot,0,0.2444,11.43
memmove,libc,16,0,0,hot,0,0.2351,11.88
memset0,micron,16,0,0,hot,0,0.1400,19.93
memset0,libc,16,0,0,hot,0,0.2805,9.97
memset5A,micron,16,0,0,hot,0,0.2332,12.00
memcpy,micron,17,0,0,hot,0,0.2332,11.97
memcpy,libc,17,0,0,hot,0,0.2211,12.63
memcpy,raw32,17,0,0,hot,0,0.2215,12.61
memmove,micron,17,0,0,hot,0,0.2374,11.76
memmove,libc,17,0,0,hot,0,0.2204,12.68
memset0,micron,17,0,0,hot,0,0.1324,21.10
memset0,libc,17,0,0,hot,0,0.2643,10.56
memset5A,micron,17,0,0,hot,0,0.3084,9.06
memcpy,micron,18,0,0,hot,0,0.2038,13.70
memcpy,libc,18,0,0,hot,0,0.5160,5.40
memcpy,raw32,18,0,0,hot,0,0.2085,13.40
memmove,micron,18,0,0,hot,0,0.2274,12.28
memmove,libc,18,0,0,hot,0,0.2083,13.41
memset0,micron,18,0,0,hot,0,0.1255,22.27
memset0,libc,18,0,0,hot,0,0.2497,11.19
memset5A,micron,18,0,0,hot,0,0.2917,9.58
memcpy,micron,19,0,0,hot,0,0.2687,10.39
memcpy,libc,19,0,0,hot,0,0.1976,14.14
memcpy,raw32,19,0,0,hot,0,0.1978,14.11
memmove,micron,19,0,0,hot,0,0.2049,13.64
memmove,libc,19,0,0,hot,0,0.1971,14.16
memset0,micron,19,0,0,hot,0,0.1186,23.63
memset0,libc,19,0,0,hot,0,0.2379,11.72
memset5A,micron,19,0,0,hot,0,0.2754,10.16
memcpy,micron,20,0,0,hot,0,0.1826,15.31
memcpy,libc,20,0,0,hot,0,0.2070,13.49
memcpy,raw32,20,0,0,hot,0,0.1979,14.11
memmove,micron,20,0,0,hot,0,0.3186,8.75
memmove,libc,20,0,0,hot,0,0.1877,14.88
memset0,micron,20,0,0,hot,0,0.1133,24.62
memset0,libc,20,0,0,hot,0,0.2997,9.31
memset5A,micron,20,0,0,hot,0,0.1871,14.94
memcpy,micron,21,0,0,hot,0,0.1734,16.12
memcpy,libc,21,0,0,hot,0,0.1789,15.61
memcpy,raw32,21,0,0,hot,0,0.1790,15.61
memmove,micron,21,0,0,hot,0,0.2111,13.24
memmove,libc,21,0,0,hot,0,0.2905,9.59
memset0,micron,21,0,0,hot,0,0.1069,26.11
memset0,libc,21,0,0,hot,0,0.2143,13.04
memset5A,micron,21,0,0,hot,0,0.1788,15.63
memcpy,micron,22,0,0,hot,0,0.1202,23.29
memcpy,libc,22,0,0,hot,0,0.1715,16.28
memcpy,raw32,22,0,0,hot,0,0.1709,16.35
memmove,micron,22,0,0,hot,0,0.1768,15.80
memmove,libc,22,0,0,hot,0,0.4660,6.00
memset0,micron,22,0,0,hot,0,0.1134,24.64
memset0,libc,22,0,0,hot,0,0.1804,15.49
memset5A,micron,22,0,0,hot,0,0.2377,11.74
memcpy,micron,23,0,0,hot,0,0.1908,14.61
memcpy,libc,23,0,0,hot,0,0.1654,16.84
memcpy,raw32,23,0,0,hot,0,0.1644,16.95
memmove,micron,23,0,0,hot,0,0.1766,15.81
memmove,libc,23,0,0,hot,0,0.1638,17.02
memset0,micron,23,0,0,hot,0,0.1139,24.54
memset0,libc,23,0,0,hot,0,0.1724,16.22
memset5A,micron,23,0,0,hot,0,0.2283,12.23
memcpy,micron,24,0,0,hot,0,0.1525,18.33
memcpy,libc,24,0,0,hot,0,0.1562,17.91
memcpy,raw32,24,0,0,hot,0,0.2524,11.05
memmove,micron,24,0,0,hot,0,0.1641,16.98
memmove,libc,24,0,0,hot,0,0.1559,17.92
memset0,micron,24,0,0,hot,0,0.0954,29.25
memset0,libc,24,0,0,hot,0,0.1865,14.93
memset5A,micron,24,0,0,hot,0,0.1556,17.95
memcpy,micron,25,0,0,hot,0,0.1508,18.52
memcpy,libc,25,0,0,hot,0,0.1658,16.83
memcpy,raw32,25,0,0,hot,0,0.0422,66.88
memmove,micron,25,0,0,hot,0,0.1733,16.12
memmove,libc,25,0,0,hot,0,0.1499,18.63
memset0,micron,25,0,0,hot,0,0.0906,30.86
memset0,libc,25,0,0,hot,0,0.1803,15.50
memset5A,micron,25,0,0,hot,0,0.2097,13.32
memcpy,micron,26,0,0,hot,0,0.1404,19.90
memcpy,libc,26,0,0,hot,0,0.1446,19.32
memcpy,raw32,26,0,0,hot,0,0.1437,19.45
memmove,micron,26,0,0,hot,0,0.1533,18.14
memmove,libc,26,0,0,hot,0,0.2750,10.17
memset0,micron,26,0,0,hot,0,0.0869,32.26
memset0,libc,26,0,0,hot,0,0.1731,16.15
memset5A,micron,26,0,0,hot,0,0.2032,13.73
memcpy,micron,27,0,0,hot,0,0.1364,20.47
memcpy,libc,27,0,0,hot,0,0.1405,19.84
memcpy,raw32,27,0,0,hot,0,0.1383,20.23
memmove,micron,27,0,0,hot,0,0.1440,19.32
memmove,libc,27,0,0,hot,0,0.1401,19.89
memset0,micron,27,0,0,hot,0,0.0841,33.20
memset0,libc,27,0,0,hot,0,0.1662,16.81
memset5A,micron,27,0,0,hot,0,0.1943,14.34
memcpy,micron,28,0,0,hot,0,0.1283,21.81
memcpy,libc,28,0,0,hot,0,0.1139,24.58
memcpy,raw32,28,0,0,hot,0,0.1346,20.78
memmove,micron,28,0,0,hot,0,0.1397,19.98
memmove,libc,28,0,0,hot,0,0.1342,20.83
memset0,micron,28,0,0,hot,0,0.1183,23.54
memset0,libc,28,0,0,hot,0,0.1612,17.30
memset5A,micron,28,0,0,hot,0,0.2608,10.69
memcpy,micron,29,0,0,hot,0,0.1259,22.19
memcpy,libc,29,0,0,hot,0,0.1295,21.57
memcpy,raw32,29,0,0,hot,0,0.1298,21.51
memmove,micron,29,0,0,hot,0,0.1347,20.58
memmove,libc,29,0,0,hot,0,0.1291,21.57
memset0,micron,29,0,0,hot,0,0.0000,0.00
memset0,libc,29,0,0,hot,0,0.1561,17.90
memset5A,micron,29,0,0,hot,0,0.1801,15.53
memcpy,micron,30,0,0,hot,0,0.1222,22.85
memcpy,libc,30,0,0,hot,0,0.1251,22.37
memcpy,raw32,30,0,0,hot,0,0.1138,24.59
memmove,micron,30,0,0,hot,0,0.1309,21.32
memmove,libc,30,0,0,hot,0,0.1234,22.69
memset0,micron,30,0,0,hot,0,0.0753,37.10
memset0,libc,30,0,0,hot,0,0.1504,18.57
memset5A,micron,30,0,0,hot,0,0.1768,15.78
memcpy,micron,31,0,0,hot,0,0.1191,23.44
memcpy,libc,31,0,0,hot,0,0.1208,23.10
memcpy,raw32,31,0,0,hot,0,0.0917,30.55
memmove,micron,31,0,0,hot,0,0.1291,21.64
memmove,libc,31,0,0,hot,0,0.1212,23.06
memset0,micron,31,0,0,hot,0,0.0728,38.26
memset0,libc,31,0,0,hot,0,0.1753,15.92
memset5A,micron,31,0,0,hot,0,0.1217,22.88
memcpy,micron,32,0,0,hot,0,0.0944,29.41
memcpy,libc,32,0,0,hot,0,0.0960,29.16
memcpy,raw32,32,0,0,hot,0,0.1176,23.75
memmove,micron,32,0,0,hot,0,0.1170,23.88
memmove,libc,32,0,0,hot,0,0.0967,28.90
memset0,micron,32,0,0,hot,0,0.0700,40.00
memset0,libc,32,0,0,hot,0,0.1171,23.87
memset5A,micron,32,0,0,hot,0,0.1170,23.89
memcpy,micron,33,0,0,hot,0,0.0000,0.00
memcpy,libc,33,0,0,hot,0,0.0913,30.53
memcpy,raw32,33,0,0,hot,0,0.1190,23.29
memmove,micron,33,0,0,hot,0,0.1366,20.44
memmove,libc,33,0,0,hot,0,0.0897,31.18
memset0,micron,33,0,0,hot,0,0.0680,41.01
memset0,libc,33,0,0,hot,0,0.1132,24.67
memset5A,micron,33,0,0,hot,0,0.1135,24.60
memcpy,micron,34,0,0,hot,0,0.1149,24.30
