# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,1.1898,0.00
memcpy,libc,0,0,0,hot,0,4.5295,0.00
memcpy,raw32,0,0,0,hot,0,1.5655,0.00
memmove,micron,0,0,0,hot,0,1.5809,0.00
memmove,libc,0,0,0,hot,0,4.8291,0.00
memset0,micron,0,0,0,hot,0,0.8001,0.00
memset0,libc,0,0,0,hot,0,6.8294,0.00
memset5A,micron,0,0,0,hot,0,1.4960,0.00
memcpy,micron,1,0,0,hot,0,3.5136,0.80
memcpy,libc,1,0,0,hot,0,4.1087,0.68
memcpy,raw32,1,0,0,hot,0,3.7635,0.74
memmove,micron,1,0,0,hot,0,3.9823,0.70
memmove,libc,1,0,0,hot,0,4.5156,0.62
memset0,micron,1,0,0,hot,0,3.0015,0.93
memset0,libc,1,0,0,hot,0,4.4991,0.62
memset5A,micron,1,0,0,hot,0,4.4997,0.62
memcpy,micron,2,0,0,hot,0,2.5913,1.08
memcpy,libc,2,0,0,hot,0,1.9943,1.40
memcpy,raw32,2,0,0,hot,0,2.5988,1.08
memmove,micron,2,0,0,hot,0,2.6453,1.06
memmove,libc,2,0,0,hot,0,2.0028,1.40
memset0,micron,2,0,0,hot,0,1.5095,1.86
memset0,libc,2,0,0,hot,0,2.2827,1.22
memset5A,micron,2,0,0,hot,0,2.3042,1.21
memcpy,micron,3,0,0,hot,0,1.6758,1.67
memcpy,libc,3,0,0,hot,0,0.0000,0.00
memcpy,raw32,3,0,0,hot,0,2.4748,1.13
memmove,micron,3,0,0,hot,0,1.7239,1.62
memmove,libc,3,0,0,hot,0,1.2593,2.22
memset0,micron,3,0,0,hot,0,1.0090,2.77
memset0,libc,3,0,0,hot,0,1.4958,1.87
memset5A,micron,3,0,0,hot,0,1.4988,1.86
memcpy,micron,4,0,0,hot,0,1.2067,2.32
memcpy,libc,4,0,0,hot,0,1.1257,2.48
memcpy,raw32,4,0,0,hot,0,1.2087,2.31
memmove,micron,4,0,0,hot,0,1.2661,2.21
memmove,libc,4,0,0,hot,0,1.1262,2.48
memset0,micron,4,0,0,hot,0,1.9450,1.44
memset0,libc,4,0,0,hot,0,1.1488,2.43
memset5A,micron,4,0,0,hot,0,1.5111,1.85
memcpy,micron,5,0,0,hot,0,0.9362,2.98
memcpy,libc,5,0,0,hot,0,0.9068,3.08
memcpy,raw32,5,0,0,hot,0,0.9408,2.97
memmove,micron,5,0,0,hot,0,1.0040,2.78
memmove,libc,5,0,0,hot,0,0.9036,3.09
memset0,micron,5,0,0,hot,0,0.6084,4.59
memset0,libc,5,0,0,hot,0,0.9160,3.05
memset5A,micron,5,0,0,hot,0,1.2064,2.32
memcpy,micron,6,0,0,hot,0,0.7795,3.58
memcpy,libc,6,0,0,hot,0,0.7572,3.69
memcpy,raw32,6,0,0,hot,0,0.7579,3.69
memmove,micron,6,0,0,hot,0,0.8375,3.34
memmove,libc,6,0,0,hot,0,0.9068,3.08
memset0,micron,6,0,0,hot,0,0.4918,5.68
memset0,libc,6,0,0,hot,0,0.7465,3.74
memset5A,micron,6,0,0,hot,0,1.0035,2.78
memcpy,micron,7,0,0,hot,0,0.3820,7.32
memcpy,libc,7,0,0,hot,0,0.7558,3.69
memcpy,raw32,7,0,0,hot,0,0.6802,4.11
memmove,micron,7,0,0,hot,0,0.7382,3.78
memmove,libc,7,0,0,hot,0,0.6599,4.24
memset0,micron,7,0,0,hot,0,0.4357,6.41
memset0,libc,7,0,0,hot,0,0.6450,4.33
memset5A,micron,7,0,0,hot,0,0.8634,3.24
memcpy,micron,8,0,0,hot,0,0.6020,4.64
memcpy,libc,8,0,0,hot,0,0.4688,5.96
memcpy,raw32,8,0,0,hot,0,0.6022,4.64
memmove,micron,8,0,0,hot,0,0.6063,4.61
memmove,libc,8,0,0,hot,0,0.4750,5.88
memset0,micron,8,0,0,hot,0,0.2891,9.66
memset0,libc,8,0,0,hot,0,0.5704,4.90
memset5A,micron,8,0,0,hot,0,0.4687,5.96
memcpy,micron,9,0,0,hot,0,0.5106,5.47
memcpy,libc,9,0,0,hot,0,0.4088,6.84
memcpy,raw32,9,0,0,hot,0,0.5188,5.38
memmove,micron,9,0,0,hot,0,0.5292,5.28
memmove,libc,9,0,0,hot,0,0.4170,6.70
memset0,micron,9,0,0,hot,0,0.2506,11.15
memset0,libc,9,0,0,hot,0,0.5015,5.57
memset5A,micron,9,0,0,hot,0,0.4167,6.70
memcpy,micron,10,0,0,hot,0,0.4581,6.10
memcpy,libc,10,0,0,hot,0,0.3750,7.45
memcpy,raw32,10,0,0,hot,0,0.4581,6.10
memmove,micron,10,0,0,hot,0,0.4740,5.90
memmove,libc,10,0,0,hot,0,0.3751,7.44
memset0,micron,10,0,0,hot,0,0.2252,12.40
memset0,libc,10,0,0,hot,0,0.3185,8.79
memset5A,micron,10,0,0,hot,0,0.3750,7.44
memcpy,micron,11,0,0,hot,0,0.4164,6.71
memcpy,libc,11,0,0,hot,0,0.3479,8.03
memcpy,raw32,11,0,0,hot,0,0.5044,5.53
memmove,micron,11,0,0,hot,0,0.0650,43.46
memmove,libc,11,0,0,hot,0,0.3412,8.18
memset0,micron,11,0,0,hot,0,0.2052,13.62
memset0,libc,11,0,0,hot,0,0.4102,6.81
memset5A,micron,11,0,0,hot,0,0.8169,3.42
memcpy,micron,12,0,0,hot,0,0.1230,22.84
memcpy,libc,12,0,0,hot,0,0.3125,8.94
memcpy,raw32,12,0,0,hot,0,0.3816,7.32
memmove,micron,12,0,0,hot,0,0.4198,6.66
memmove,libc,12,0,0,hot,0,0.3125,8.94
memset0,micron,12,0,0,hot,0,0.1896,14.74
memset0,libc,12,0,0,hot,0,0.3760,7.43
memset5A,micron,12,0,0,hot,0,0.3125,8.94
memcpy,micron,13,0,0,hot,0,0.3528,7.92
memcpy,libc,13,0,0,hot,0,0.2884,9.69
memcpy,raw32,13,0,0,hot,0,0.3566,7.84
memmove,micron,13,0,0,hot,0,0.3802,7.34
memmove,libc,13,0,0,hot,0,0.2885,9.69
memset0,micron,13,0,0,hot,0,0.1069,26.11
memset0,libc,13,0,0,hot,0,0.3523,7.92
memset5A,micron,13,0,0,hot,0,0.2885,9.68
memcpy,micron,14,0,0,hot,0,0.5927,4.72
memcpy,libc,14,0,0,hot,0,0.2679,10.43
memcpy,raw32,14,0,0,hot,0,0.3270,8.54
memmove,micron,14,0,0,hot,0,0.3751,7.45
memmove,libc,14,0,0,hot,0,0.2679,10.43
memset0,micron,14,0,0,hot,0,0.2527,11.03
memset0,libc,14,0,0,hot,0,0.3221,8.67
memset5A,micron,14,0,0,hot,0,0.2679,10.43
memcpy,micron,15,0,0,hot,0,0.3052,9.15
memcpy,libc,15,0,0,hot,0,0.2500,11.18
memcpy,raw32,15,0,0,hot,0,0.3053,9.15
memmove,micron,15,0,0,hot,0,0.3501,7.98
memmove,libc,15,0,0,hot,0,0.0162,178.63
memset0,micron,15,0,0,hot,0,0.1501,18.62
memset0,libc,15,0,0,hot,0,0.3006,9.29
memset5A,micron,15,0,0,hot,0,0.2500,11.18
memcpy,micron,16,0,0,hot,0,0.2386,11.71
memcpy,libc,16,0,0,hot,0,0.2349,11.90
memcpy,raw32,16,0,0,hot,0,0.2345,11.91
memmove,micron,16,0,0,hot,0,0.2630,10.62
memmove,libc,16,0,0,hot,0,0.2350,11.89
memset0,micron,16,0,0,hot,0,0.1407,19.86
memset0,libc,16,0,0,hot,0,0.2817,9.92
memset5A,micron,16,0,0,hot,0,0.2344,11.92
memcpy,micron,17,0,0,hot,0,0.2582,10.82
memcpy,libc,17,0,0,hot,0,0.2207,12.66
memcpy,raw32,17,0,0,hot,0,0.2585,10.81
memmove,micron,17,0,0,hot,0,0.2759,10.13
memmove,libc,17,0,0,hot,0,0.2207,12.66
memset0,micron,17,0,0,hot,0,0.1335,20.93
memset0,libc,17,0,0,hot,0,0.2864,9.73
memset5A,micron,17,0,0,hot,0,0.3063,9.12
memcpy,micron,18,0,0,hot,0,0.2442,11.44
memcpy,libc,18,0,0,hot,0,0.2083,13.41
memcpy,raw32,18,0,0,hot,0,0.2443,11.44
memmove,micron,18,0,0,hot,0,0.2589,10.79
memmove,libc,18,0,0,hot,0,0.2084,13.41
memset0,micron,18,0,0,hot,0,0.1258,22.22
memset0,libc,18,0,0,hot,0,0.2506,11.15
memset5A,micron,18,0,0,hot,0,0.2918,9.58
memcpy,micron,19,0,0,hot,0,0.2316,12.06
memcpy,libc,19,0,0,hot,0,0.3723,7.50
memcpy,raw32,19,0,0,hot,0,0.2315,12.07
memmove,micron,19,0,0,hot,0,0.2444,11.44
memmove,libc,19,0,0,hot,0,0.1974,14.16
memset0,micron,19,0,0,hot,0,0.1191,23.46
memset0,libc,19,0,0,hot,0,0.2369,11.80
memset5A,micron,19,0,0,hot,0,0.2762,10.11
memcpy,micron,20,0,0,hot,0,0.2197,12.72
memcpy,libc,20,0,0,hot,0,0.1874,14.91
memcpy,raw32,20,0,0,hot,0,0.2204,12.68
memmove,micron,20,0,0,hot,0,0.2323,12.03
memmove,libc,20,0,0,hot,0,0.1876,14.90
memset0,micron,20,0,0,hot,0,0.1138,24.54
memset0,libc,20,0,0,hot,0,0.2250,12.42
memset5A,micron,20,0,0,hot,0,0.2625,10.64
memcpy,micron,21,0,0,hot,0,0.2090,13.37
memcpy,libc,21,0,0,hot,0,0.1786,15.64
memcpy,raw32,21,0,0,hot,0,0.2098,13.32
memmove,micron,21,0,0,hot,0,0.2207,12.66
memmove,libc,21,0,0,hot,0,0.1785,15.65
memset0,micron,21,0,0,hot,0,0.1074,26.01
memset0,libc,21,0,0,hot,0,0.2145,13.02
memset5A,micron,21,0,0,hot,0,0.2500,11.17
memcpy,micron,22,0,0,hot,0,0.1996,14.00
memcpy,libc,22,0,0,hot,0,0.1705,16.39
memcpy,raw32,22,0,0,hot,0,0.1999,13.98
memmove,micron,22,0,0,hot,0,0.2119,13.19
memmove,libc,22,0,0,hot,0,0.1705,16.40
memset0,micron,22,0,0,hot,0,0.1030,27.14
memset0,libc,22,0,0,hot,0,0.2046,13.66
memset5A,micron,22,0,0,hot,0,0.2387,11.71
memcpy,micron,23,0,0,hot,0,0.1908,14.65
memcpy,libc,23,0,0,hot,0,0.1631,17.14
memcpy,raw32,23,0,0,hot,0,0.1912,14.61
memmove,micron,23,0,0,hot,0,0.2021,13.82
memmove,libc,23,0,0,hot,0,0.1630,17.13
memset0,micron,23,0,0,hot,0,0.0980,28.50
memset0,libc,23,0,0,hot,0,0.1957,14.28
memset5A,micron,23,0,0,hot,0,0.2280,12.24
memcpy,micron,24,0,0,hot,0,0.1833,15.24
memcpy,libc,24,0,0,hot,0,0.1564,17.87
memcpy,raw32,24,0,0,hot,0,0.1833,15.24
memmove,micron,24,0,0,hot,0,0.1941,14.40
memmove,libc,24,0,0,hot,0,0.1563,17.88
memset0,micron,24,0,0,hot,0,0.0953,29.31
memset0,libc,24,0,0,hot,0,0.1875,14.90
memset5A,micron,24,0,0,hot,0,0.2188,12.75
memcpy,micron,25,0,0,hot,0,0.1758,15.89
memcpy,libc,25,0,0,hot,0,0.1500,18.62
memcpy,raw32,25,0,0,hot,0,0.1761,15.87
memmove,micron,25,0,0,hot,0,0.1865,14.98
memmove,libc,25,0,0,hot,0,0.1500,18.61
memset0,micron,25,0,0,hot,0,0.0900,31.05
memset0,libc,25,0,0,hot,0,0.1800,15.52
memset5A,micron,25,0,0,hot,0,0.2100,13.30
memcpy,micron,26,0,0,hot,0,0.1687,16.56
memcpy,libc,26,0,0,hot,0,0.1443,19.36
memcpy,raw32,26,0,0,hot,0,0.1695,16.48
memmove,micron,26,0,0,hot,0,0.1790,15.61
memmove,libc,26,0,0,hot,0,0.1443,19.36
memset0,micron,26,0,0,hot,0,0.0867,32.24
memset0,libc,26,0,0,hot,0,0.1731,16.14
memset5A,micron,26,0,0,hot,0,0.2019,13.84
memcpy,micron,27,0,0,hot,0,0.1625,17.19
memcpy,libc,27,0,0,hot,0,0.1389,20.12
memcpy,raw32,27,0,0,hot,0,0.1628,17.16
memmove,micron,27,0,0,hot,0,0.1720,16.25
memmove,libc,27,0,0,hot,0,0.1389,20.09
memset0,micron,27,0,0,hot,0,0.0829,33.74
memset0,libc,27,0,0,hot,0,0.1671,16.71
memset5A,micron,27,0,0,hot,0,0.1947,14.35
memcpy,micron,28,0,0,hot,0,0.1568,17.82
memcpy,libc,28,0,0,hot,0,0.1339,20.87
memcpy,raw32,28,0,0,hot,0,0.1570,17.80
memmove,micron,28,0,0,hot,0,0.1660,16.84
memmove,libc,28,0,0,hot,0,0.1340,20.86
memset0,micron,28,0,0,hot,0,0.0811,34.28
memset0,libc,28,0,0,hot,0,0.1606,17.40
memset5A,micron,28,0,0,hot,0,0.1878,14.86
memcpy,micron,29,0,0,hot,0,0.1513,18.47
memcpy,libc,29,0,0,hot,0,0.1294,21.60
memcpy,raw32,29,0,0,hot,0,0.1518,18.41
memmove,micron,29,0,0,hot,0,0.1605,17.41
memmove,libc,29,0,0,hot,0,0.1293,21.60
memset0,micron,29,0,0,hot,0,0.0776,35.99
