# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,1.5648,0.00
memcpy,libc,0,0,0,hot,0,5.8341,0.00
memcpy,raw32,0,0,0,hot,0,1.6154,0.00
memmove,micron,0,0,0,hot,0,1.5720,0.00
memmove,libc,0,0,0,hot,0,5.6417,0.00
memset0,micron,0,0,0,hot,0,0.8250,0.00
memset0,libc,0,0,0,hot,0,6.2647,0.00
memset5A,micron,0,0,0,hot,0,1.5054,0.00
memcpy,micron,1,0,0,hot,0,3.7957,0.74
memcpy,libc,1,0,0,hot,0,5.4484,0.51
memcpy,raw32,1,0,0,hot,0,3.5290,0.79
memmove,micron,1,0,0,hot,0,3.9332,0.71
memmove,libc,1,0,0,hot,0,5.4433,0.51
memset0,micron,1,0,0,hot,0,3.0078,0.93
memset0,libc,1,0,0,hot,0,3.7598,0.74
memset5A,micron,1,0,0,hot,0,4.5143,0.62
memcpy,micron,2,0,0,hot,0,2.5924,1.08
memcpy,libc,2,0,0,hot,0,1.9985,1.40
memcpy,raw32,2,0,0,hot,0,2.5920,1.08
memmove,micron,2,0,0,hot,0,2.6057,1.07
memmove,libc,2,0,0,hot,0,1.9978,1.40
memset0,micron,2,0,0,hot,0,1.8830,1.48
memset0,libc,2,0,0,hot,0,2.3819,1.17
memset5A,micron,2,0,0,hot,0,2.2588,1.24
memcpy,micron,3,0,0,hot,0,1.6805,1.66
memcpy,libc,3,0,0,hot,0,1.2711,2.20
memcpy,raw32,3,0,0,hot,0,1.6748,1.67
memmove,micron,3,0,0,hot,0,1.7312,1.61
memmove,libc,3,0,0,hot,0,1.3579,2.06
memset0,micron,3,0,0,hot,0,1.2480,2.24
memset0,libc,3,0,0,hot,0,1.5531,1.80
memset5A,micron,3,0,0,hot,0,1.5111,1.85
memcpy,micron,4,0,0,hot,0,1.2140,2.30
memcpy,libc,4,0,0,hot,0,1.1260,2.48
memcpy,raw32,4,0,0,hot,0,1.2024,2.32
memmove,micron,4,0,0,hot,0,1.2672,2.20
memmove,libc,4,0,0,hot,0,1.1254,2.48
memset0,micron,4,0,0,hot,0,0.7548,3.70
memset0,libc,4,0,0,hot,0,0.9991,2.80
memset5A,micron,4,0,0,hot,0,1.2246,2.28
memcpy,micron,5,0,0,hot,0,0.9326,3.00
memcpy,libc,5,0,0,hot,0,0.9006,3.10
memcpy,raw32,5,0,0,hot,0,0.9298,3.00
memmove,micron,5,0,0,hot,0,1.0303,2.71
memmove,libc,5,0,0,hot,0,0.9053,3.09
memset0,micron,5,0,0,hot,0,0.6051,4.62
memset0,libc,5,0,0,hot,0,0.9301,3.00
memset5A,micron,5,0,0,hot,0,1.0560,2.65
memcpy,micron,6,0,0,hot,0,0.7633,3.66
memcpy,libc,6,0,0,hot,0,0.7556,3.70
memcpy,raw32,6,0,0,hot,0,0.7793,3.58
memmove,micron,6,0,0,hot,0,0.8652,3.23
memmove,libc,6,0,0,hot,0,0.7581,3.69
memset0,micron,6,0,0,hot,0,0.4997,5.59
memset0,libc,6,0,0,hot,0,0.7963,3.51
memset5A,micron,6,0,0,hot,0,0.8798,3.18
memcpy,micron,7,0,0,hot,0,0.6695,4.17
memcpy,libc,7,0,0,hot,0,0.6314,4.43
memcpy,raw32,7,0,0,hot,0,0.6786,4.12
memmove,micron,7,0,0,hot,0,0.7178,3.89
memmove,libc,7,0,0,hot,0,0.6524,4.28
memset0,micron,7,0,0,hot,0,0.4334,6.45
memset0,libc,7,0,0,hot,0,0.6786,4.12
memset5A,micron,7,0,0,hot,0,0.7432,3.76
memcpy,micron,8,0,0,hot,0,0.6013,4.65
memcpy,libc,8,0,0,hot,0,0.4803,5.82
memcpy,raw32,8,0,0,hot,0,0.5957,4.69
memmove,micron,8,0,0,hot,0,0.6095,4.58
memmove,libc,8,0,0,hot,0,0.4688,5.96
memset0,micron,8,0,0,hot,0,0.2815,9.93
memset0,libc,8,0,0,hot,0,0.5938,4.71
memset5A,micron,8,0,0,hot,0,0.4688,5.96
memcpy,micron,9,0,0,hot,0,0.5085,5.49
memcpy,libc,9,0,0,hot,0,0.4114,6.79
memcpy,raw32,9,0,0,hot,0,0.5087,5.49
memmove,micron,9,0,0,hot,0,0.5295,5.28
memmove,libc,9,0,0,hot,0,0.4167,6.70
memset0,micron,9,0,0,hot,0,0.2500,11.18
memset0,libc,9,0,0,hot,0,0.5334,5.24
memset5A,micron,9,0,0,hot,0,0.4265,6.55
memcpy,micron,10,0,0,hot,0,0.4580,6.10
memcpy,libc,10,0,0,hot,0,0.4627,6.03
memcpy,raw32,10,0,0,hot,0,0.4642,6.02
memmove,micron,10,0,0,hot,0,0.4907,5.69
memmove,libc,10,0,0,hot,0,0.3749,7.45
memset0,micron,10,0,0,hot,0,0.2251,12.41
memset0,libc,10,0,0,hot,0,0.4750,5.88
memset5A,micron,10,0,0,hot,0,0.3815,7.32
memcpy,micron,11,0,0,hot,0,0.4210,6.64
memcpy,libc,11,0,0,hot,0,0.3409,8.19
memcpy,raw32,11,0,0,hot,0,0.4162,6.71
memmove,micron,11,0,0,hot,0,0.4333,6.45
memmove,libc,11,0,0,hot,0,0.3410,8.19
memset0,micron,11,0,0,hot,0,0.2046,13.66
memset0,libc,11,0,0,hot,0,0.4463,6.26
memset5A,micron,11,0,0,hot,0,0.3409,8.20
memcpy,micron,12,0,0,hot,0,0.3819,7.32
memcpy,libc,12,0,0,hot,0,0.3125,8.94
memcpy,raw32,12,0,0,hot,0,0.3815,7.32
memmove,micron,12,0,0,hot,0,0.3965,7.05
memmove,libc,12,0,0,hot,0,0.3125,8.94
memset0,micron,12,0,0,hot,0,0.1875,14.90
memset0,libc,12,0,0,hot,0,0.3958,7.06
memset5A,micron,12,0,0,hot,0,0.3125,8.94
memcpy,micron,13,0,0,hot,0,0.3522,7.93
memcpy,libc,13,0,0,hot,0,0.2885,9.68
memcpy,raw32,13,0,0,hot,0,0.3521,7.94
memmove,micron,13,0,0,hot,0,0.3658,7.64
memmove,libc,13,0,0,hot,0,0.2885,9.69
memset0,micron,13,0,0,hot,0,0.1731,16.14
memset0,libc,13,0,0,hot,0,0.3656,7.64
memset5A,micron,13,0,0,hot,0,0.2885,9.69
memcpy,micron,14,0,0,hot,0,0.3272,8.54
memcpy,libc,14,0,0,hot,0,0.2679,10.43
